NEIGHBOURHOOD,NEIGHBOURHOOD_140,NEIGHBOURHOOD_158
Agincourt North,,2031.0
Agincourt North (129),2031.0,
Agincourt South-Malvern West,,3107.0
Agincourt South-Malvern West (128),3105.0,
Alderwood,,1147.0
Alderwood (20),1147.0,
Annex,,6885.0
Annex (95),7214.0,
Avondale,,1067.0
Banbury-Don Mills,,2393.0
Banbury-Don Mills (42),2368.0,
Bathurst Manor,,1600.0
Bathurst Manor (34),1603.0,
Bay Street Corridor (76),12686.0,
Bay-Cloverhill,,3111.0
Bayview Village,,2041.0
Bayview Village (52),2035.0,
Bayview Woods-Steeles,,953.0
Bayview Woods-Steeles (49),946.0,
Bedford Park-Nortown,,2619.0
Bedford Park-Nortown (39),2619.0,
Beechborough-Greenbrook,,1097.0
Beechborough-Greenbrook (112),1161.0,
Bendale (127),4569.0,
Bendale South,,1250.0
Bendale-Glen Andrew,,3333.0
Birchcliffe-Cliffside,,3040.0
Birchcliffe-Cliffside (122),3040.0,
Black Creek,,3699.0
Black Creek (24),3858.0,
Blake-Jones,,1289.0
Blake-Jones (69),1222.0,
Briar Hill-Belgravia,,1741.0
Briar Hill-Belgravia (108),1932.0,
Bridle Path-Sunnybrook-York Mills,,1256.0
Bridle Path-Sunnybrook-York Mills (41),1238.0,
Broadview North,,1106.0
Broadview North (57),1106.0,
Brookhaven-Amesbury,,2432.0
Brookhaven-Amesbury (30),2337.0,
Cabbagetown-South St.James Town,,2889.0
Cabbagetown-South St.James Town (71),2886.0,
Caledonia-Fairbank,,1060.0
Caledonia-Fairbank (109),1013.0,
Casa Loma,,1223.0
Casa Loma (96),1223.0,
Centennial Scarborough,,903.0
Centennial Scarborough (133),902.0,
Church-Wellesley,,5983.0
Church-Yonge Corridor (75),15543.0,
Clairlea-Birchmount,,4746.0
Clairlea-Birchmount (120),4635.0,
Clanton Park,,2433.0
Clanton Park (33),2392.0,
Cliffcrest,,2249.0
Cliffcrest (123),2249.0,
Corso Italia-Davenport,,1843.0
Corso Italia-Davenport (92),1897.0,
Danforth,,1968.0
Danforth (66),2104.0,
Danforth East York,,1447.0
Danforth East York (59),1403.0,
Don Valley Village,,2800.0
Don Valley Village (47),2801.0,
Dorset Park,,3668.0
Dorset Park (126),3667.0,
Dovercourt Village,,2055.0
Dovercourt-Wallace Emerson-Junction (93),5851.0,
Downsview,,2810.0
Downsview-Roding-CFB (26),7779.0,
Downtown Yonge East,,9584.0
Dufferin Grove,,2217.0
Dufferin Grove (83),2067.0,
